Concentration (uM),1/Tau (Hz),Error (Hz)
1,1017.26319369637,273.669802740559
1,1184.73231171694,174.465475808965
1,706.071621299785,97.8929380315687
1,573.991379319369,40.41665717494
1,631.442980326789,54.3627022420448
3,2050.54683043319,755.031801901613
3,783.896042978307,88.53686508613
3,1183.62793285265,128.244102998383
3,1376.7261952959,152.260179719251
3,1279.03467782494,117.140315756376
6,1891.17170345964,442.574286363913
6,1142.765191343,174.033825043409
6,1072.75914317211,101.525088040836
10,1267.38199473077,283.398598831082
10,1504.66456739758,110.615132209943
10,1798.45676242916,112.009879544425
10,1558.08533144021,117.464709674912
10,2912.22940029273,287.128923714381
10,2578.72011911657,180.012136521496
20,6400.3803751462,1872.23048599978
20,3042.85962814727,834.732586196576
